id,name,oao,address,avcr_note,avcr_date,mkcr_note,mkcr_date
353639,Muzeum Mladoboleslavska,Muzeum Mladá Boleslav,Staroměstské náměstí  1<br> 29301 Mladá Boleslav,okres Mladá Boleslav,6/11/1999,–,–
84930,Regionální muzeum Náchod,Muzeum Náchod,Masarykovo náměstí 1<br> 54701 Náchod,okres Náchod,8/8/2000,12.724/1999,13. 12. 1999
96296,Muzeum Novojíčínska,Muzeum Nový Jičín,28. října 12<br> 74111  Nový Jičín,okres Nový Jičín,8.3.1999,2.504/95,3/20/1995
100609,Vlastivědné muzeum v Olomouci,Muzeum Olomouc,"nám. Republiky 5<br> 77173 Olomouc,","okresy Olomouc, Přerov, Šumperk, Vsetín, městská památková rezervace Olomouc; kulturní památky Klášterní hradisko a Svatý Kopeček u Olomouce",30.9.1999,2291/94,–
100595,Slezské zemské muzeum,Muzeum Opava,Tyršova 1<br> 74601 Opava,"okresy Bruntál, Jeseník, Frýdek – Místek, Karviná, Nový Jičín, Opava, Ostrava",1.4.1999,–,30.5.1988
97594,Ostravské muzeum,Muzeum Ostrava,Masarykovo náměstí  1<br> 72741 Ostrava,"katastrální území obcí Bartovice, Dubina u Ostravy, Heřmanovice, Hošálkovice, Hrabová, Habrůvky. Hrušov, Koblov, Krásné Pole, Kunčice nad Ostravicí, Kunčičky, Lhotka u Ostravy, Mariánské Hory, Martinov ve Slezsku, Michálkovice, Moravská Ostrava, Muglinov, Nová Bělá, Nová Plesná, Nová Ves u Ostravy, Petřkovice u Ostravy, Polanka nad Odrou, Poruba, Poruba – sever, Proskovice, Přívoz, Pustkovec, Radvanice, Slezská Ostrava, Stará Bělá, Stará Plesná, Svinov, Třebovice ve Slezsku, Vítkovice, Výškovice u Ostravy, Zábřeh – Hulkváky, Zábřeh – V, Zábřeh nad Odrou",31.5.2006,č.j.1265/2004,17.6.2004
14450542,Východočeské muzeum v Pardubicích ,Muzeum Pardubice,Zámek 2<br> 53002  Pardubice,Pardubický kraj,11/18/2002,–,5/30/1988
71307,Muzeum Vysočiny Pelhřimov,Muzeum Pelhřimov,Masarykovo náměstí 12<br> 39301 Pelhřimov,kraj Vysočina,29.12.2003 platnost dohody pozastavena,–,5/30/1988
367851,Prácheňské muzeum v Písku,Muzeum Písek,Velké náměstí 114<br> 39701 Písek,okres Písek,5/2/2001,12.901/89,10/31/1989
228745,Západočeské muzeum v Plzni,Muzeum Plzeň,Kopeckého sady 2<br> 30150  Plzeň,kraj Západočeský a Karlovarský,5/26/2000,čj. 7492/88,5/30/1988
69841,Polabské muzeum Poděbrady,Muzeum Poděbrady,Palackého 68<br> 29055 Poděbrady,"okres Nymburk (mimo k.ú. St.Lysá, Přerov n.L., Třebestovice, Vykáň, Kounice a mimo areálu NKP a reservace Libice n. Cidlinou)",5/4/1999,7492/88,30.5. 1988
71854,Prachatické muzeum,Muzeum Prachatice,Velké náměstí 13<br> 38301 Prachatice,okres Prachatice,3.6.2019 (na 3 roky),čj. 2719/1993,6/25/1993
97969,Muzeum Komenského v Přerově,Muzeum Přerov,Horní náměstí 7<br> 75011 Přerov,okres Přerov,23.3.1999,čj. 2385/99 nebo 16716/2002,1.7.1999
360121,Hornické muzeum Příbram,Muzeum Příbram,Náměstí Hynka Kličky 293<br> 26101 Příbram VI,okres Příbram,7/13/1999,549/97,7/17/1997
91405,Muzeum Prostějovska v Prostějově,Muzeum Prostějov,Nám. T.G.Masaryka 21<br> 79601 Prostějov,okres Prostějov,15.3.2001,nemá č.j.,30.5.1988
360155,Muzeum T.G.M Rakovník,Muzeum Rakovník,Vysoká 95<br> 26901 Rakovník,okres Rakovník,10/14/2002,čj. 4314/2002,7/23/2002
68435002,Podřipské muzeum,Muzeum Roudnice n. L.,Karlovo náměstí  21<br> 41301 Roudnice nad Labem,okres Litoměřice,20.9.2019 (na 3 roky),čj. 18999/2004,2/4/2005
69850,Středočeské muzeum Roztoky u Prahy,Muzeum Roztoky,Zámek  1<br> 25263 Roztoky u Prahy,"Červený Újezd (k.ú. Červený Újezd), Číčovice(k.ú. Velké Číčovice), Číčovice (k.ú. Malé Číčovice), Dobrovíz (k.ú. Dobrovíz), Dolany (k.ú. Dolany u Prahy), Dolany (k.ú. Debrno), Holubice (k.ú. Holubice v Čechách), Holubice (k.ú. Kozinec), Horoměřice (k.ú. Horoměřice), Hostivice (k.ú. Hostivice), Hostivice (k.ú. Litovice), Chýně (k.ú. Chýně), Jeneč (k.ú. Jeneč u Prahy), Kněževes (k.ú. Kněževes u Prahy), Libčice n. Vlt. (k.ú.Libčice n. Vlt.), Libčice n. Vlt.(k.ú.Chýnov), Libčice n. Vlt.(k.ú. Letky), Lichoceves (k.ú. Lichoceves), Lichoceves (k.ú. Noutonice), Okoř (k.ú. Okoř), Ptice (k.ú. Ptice), Roztoky(k.ú. Roztoky u Prahy), Roztoky (k.ú. Žalov), Statenice (k.ú. Statenice), Středokluky (k.ú. Středokluky), Svrkyně(k.ú. Hole u Svrkyně), Svrkyně (k.ú. Svrkyně), Tuchoměřice (k.ú. Tuchoměřice), Tuchoměřice (k.ú. Kněživka), Tursko(k.ú. Tursko), Úholičky (k.ú. Úholičky), Úhonice (k.ú. Úhonice), Únětice (k.ú. Unětice u Prahy), Velké Přílepy (k.ú. Velké Přílepy), Velké Přílepy (k.ú. Kamýk u Velkých Přílep)",4/23/1999,7492/88,5/30/1988
371149,Muzeum a galerie Orlických hor v Rychnově nad Kněžnou,Muzeum Rychnov n. Kn.,Jiráskova 2<br> 51611 Rychnov nad Kněžnou,Královéhradecký kraj a okres  Ústí nad Orlicí,17.6.1999+dodatek ze dne 21.3.2006,čj. 9424/95,–
72150,Muzeum středního Pootaví Strakonice,Muzeum Strakonice,Zámek  1<br> 38601  Strakonice,okres Strakonice a přilehlá (severní) část okresu Prachatice,4/23/1999,čj. 4769/2006,8/25/2006
98311,Vlastivědné muzeum v Šumperku,Muzeum Šumperk,Hlavní třída 22<br> 78731   Šumperk,okres Šumperk,4.8.1999,7492/88,5/30/1988
72486,Husitské muzeum v Táboře,Muzeum Tábor,nám.Mikuláše z Husi 44<br> 39001 Tábor,kraj Jihočeský,7/22/2005,čj. 12.901/89,10/31/1989
76716,Muzeum Českého lesa v Tachově,Muzeum Tachov,Třída Míru 447<br> 347 01 Tachov,okres Tachov,9/29/2003,čj. 3047/94,–
83241,Regionální muzeum v Teplicích,Muzeum Teplice,Zámecké nám. 14<br> 41501 Teplice,Ústecký kraj,"dohodu ze dne 10.1.2001 MK neeviduje, pouze dodatek ze dne 21.7.2006, kterým se upravuje územní působnost",čj. 15835/2002,3/6/2003
91766,Muzeum Vysočiny Třebíč,Muzeum Třebíč,Zámek 1<br> 67401 Třebíč,okres Třebíč,12.2.2001 - zrušena dodatkem z 18.4.2019 (zánik oprávnění),čj.3335/95/SI - odejmuto rozhodnutím č.j.MK 76915/2019 OPP,"21.3.1995, rozhodnutí o odejmutí povolení ze dne 21.1.2020"
75119153,Muzeum Podkrkonoší v Trutnově,Muzeum Trutnov,Školní 150<br> 54101 Trutnov,okres Trutnov,3.7.2018 (účinná od  17. 10. 2018 na 5 let),čj. 16.543/2000,3/8/2000
85804,Muzeum Českého ráje v Turnově,Muzeum Turnov,Skálova 71<br> 51101 Turnov,území Semilska a přilehlé oblasti,5/19/1999,549/97,5/30/1988
92126,Slovácké muzeum v Uherském  Hradišti,Muzeum Uherské Hradiště,Smetanovy sady 179<br> 68601 Uherské Hradiště,"okres Uherské Hradiště (mimo Staré Město – Na Valách, Špitálky, Modrá – kostelík, Uherské Hradiště – Sady, Osvětimany – Hradisko sv. Klimenta)",23.3.1999,k č.j. 12.108/97,1/23/1998
361321,Muzeum města Ústí nad Labem,Muzeum Ústí n. L.,Masarykova 1000/3<br> 40001  Ústí nad Labem,okres Ústí nad Labem,10/3/2006,čj. 9833/2006,3/27/2007
65048,Muzeum Podblanicka,Muzeum Vlašim/Benešov,Zámek 1<br> 25801 Vlašim,"území působnosti stavebních úřadů Benešov, Čechtice, Divišov, Dolní Kralovice, Sázava, Vlašim",4/30/2007,čj. 16543/1999,–
